w,th,s,cat
taste,ชิม,I taste every day.|Please taste now.,verb
smell,ดมกลิ่น,I smell every day.|Please smell now.,verb
touch,แตะ,I touch every day.|Please touch now.,verb
watch,ดู,I watch every day.|Please watch now.,verb
father,พ่อ,I see a father.|The {w} is here.,people
mother,แม่,I see a mother.|The {w} is here.,people
brother,พี่ชาย/น้องชาย,I see a brother.|The {w} is here.,people
sister,พี่สาว/น้องสาว,I see a sister.|The {w} is here.,people
grandma,ย่า/ยาย,I see a grandma.|The {w} is here.,people
grandpa,ปู่/ตา,I see a grandpa.|The {w} is here.,people
baby,ทารก,I see a baby.|The {w} is here.,people
boy,เด็กผู้ชาย,I see a boy.|The {w} is here.,people
girl,เด็กผู้หญิง,I see a girl.|The {w} is here.,people
teacher's desk,โต๊ะครู,This is my teacher's desk.|I like the teacher's desk.,school
homework,การบ้าน,This is my homework.|I like the homework.,school
test,แบบทดสอบ,This is my test.|I like the test.,school
glue,กาว,This is my glue.|I like the glue.,school
paint,สีทา,This is my paint.|I like the paint.,school
sweep,กวาด,This is my sweep.|I like the sweep.,home
mop,ถูพื้น,This is my mop.|I like the mop.,home
push,ผลัก,I push every day.|Please push now.,verb
pull,ดึง,I pull every day.|Please pull now.,verb
throw,โยน,I throw every day.|Please throw now.,verb
catch,จับ,I catch every day.|Please catch now.,verb
hug,กอด,I hug every day.|Please hug now.,verb
thank,ขอบคุณ,Thank is fun.|We like thank.,daily
sorry,ขอโทษ,Sorry is fun.|We like sorry.,daily
please,กรุณา,Please is fun.|We like please.,daily
goodbye,ลาก่อน,Goodbye is fun.|We like goodbye.,daily
welcome,ยินดีต้อนรับ,Welcome is fun.|We like welcome.,daily
near,ใกล้,Near is fun.|We like near.,daily
far,ไกล,Far is fun.|We like far.,daily
before,ก่อน,Before is fun.|We like before.,daily
after,หลัง,After is fun.|We like after.,daily
first,อันดับแรก,First is fun.|We like first.,daily
next,ถัดไป,Next is fun.|We like next.,daily
last,สุดท้าย,Last is fun.|We like last.,daily
hour,ชั่วโมง,Hour is fun.|We like hour.,daily
minute,นาที,Minute is fun.|We like minute.,daily
second,วินาที,Second is fun.|We like second.,daily
hand,มือ,Hand is fun.|We like hand.,daily
foot,เท้า,Foot is fun.|We like foot.,daily
head,หัว,Head is fun.|We like head.,daily
eyes,ดวงตา,Eyes is fun.|We like eyes.,daily
ears,หู,Ears is fun.|We like ears.,daily
mouth,ปาก,Mouth is fun.|We like mouth.,daily
nose,จมูก,Nose is fun.|We like nose.,daily
doctor,หมอ,Doctor is fun.|We like doctor.,daily
nurse,พยาบาล,Nurse is fun.|We like nurse.,daily
police,ตำรวจ,Police is fun.|We like police.,daily
firefighter,นักดับเพลิง,Firefighter is fun.|We like firefighter.,daily
farmer,ชาวนา,Farmer is fun.|We like farmer.,daily
